px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.55531	-5.11025	-2.72201	2.38542	0.667663	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.97843
7.60737	-5.2739	-2.7266	2.36269	0.608901	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	3.48359
7.70029	-5.39242	-2.7223	2.3797	0.591274	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.996763
7.76582	-5.54042	-2.72417	2.36764	0.547389	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	1.87988
7.84892	-5.65349	-2.70654	2.37787	0.526293	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.78814
7.90037	-5.81157	-2.70582	2.35065	0.471253	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	2.90832
8.00948	-5.92644	-2.75164	2.37825	0.481072	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	9.32594
8.06491	-6.07621	-2.75739	2.35237	0.431669	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	2.38933
8.16204	-6.19483	-2.75256	2.36303	0.417329	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.13652
8.23774	-6.33972	-2.756	2.34976	0.381595	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	1.16813
8.32462	-6.45352	-2.7418	2.35557	0.365631	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.21096
8.38266	-6.61218	-2.74329	2.32487	0.315888	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	2.15656
8.47398	-6.72841	-2.74013	2.3323	0.306255	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.541262
8.54246	-6.87249	-2.74002	2.31341	0.271501	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	1.04214
8.61908	-6.97816	-2.7298	2.31505	0.259042	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.77203
8.66708	-7.12475	-2.73142	2.2826	0.214979	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	1.73754
8.77199	-7.24014	-2.76806	2.3011	0.228169	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	6.39541
8.82384	-7.39293	-2.77482	2.26745	0.184451	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	1.82965
8.8959	-7.51646	-2.74642	2.25502	0.157206	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	5.29396
8.95224	-7.66948	-2.74694	2.22611	0.120958	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	1.1587
9.03177	-7.78487	-2.75188	2.22781	0.117845	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.414623
9.07292	-7.93467	-2.75431	2.19221	0.0779526	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	1.45208
9.1195	-8.05947	-2.7129	2.16499	0.0390229	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	7.63848
9.16817	-8.20649	-2.71014	2.13805	0.0111165	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.7972
9.24388	-8.32654	-2.72049	2.13999	0.0149058	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.577751
9.27452	-8.47435	-2.72159	2.10324	-0.0207922	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	1.23725
9.31715	-8.60932	-2.69358	2.07207	-0.0586725	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	4.8123
